id,word,rank,stars,part_of_speech,meaning_ja,definition_en,example_1_en,example_1_ja,example_2_en,example_2_ja,example_3_en,example_3_ja
2322,tower,2322,★★☆☆☆,noun,タワー,"a tall, narrow building or structure that may stand apart from or be attached to another building or structure",The children built an impressive wooden block tower on the living room rug.,子どもたちはリビングの絨毯の上に、見事な積み木の塔を組み立てた。,We climbed the historic stone tower to enjoy a panoramic view of the autumn valley.,私たちは秋の渓谷の全景を楽しむため、歴史ある石造りの塔に登った。,A gentle church tower clock chimed six times as the sun began to set.,夕日が沈み始める頃、教会の時計塔が優しく6回の鐘を鳴らした。
2323,characterize,2323,★★☆☆☆,verb,特徴づける、描写する,to be typical of someone or something; to describe or show someone or something in a particular way,Warm hospitality and hearty home cooking characterize her grandmother's cottage.,温かいもてなしとボリューム満点の手料理が、彼女の祖母のコテージの持ち味です。,A crisp crust and airy crumb characterize this style of rustic French baguette.,パリッとした皮と気泡を含んだ軽い中身が、この素朴なフランスパンの特徴です。,Mutual respect and shared laughter characterize their long-lasting marriage.,お互いへの敬意と共有する笑い声が、彼らの長年続く結婚生活を物語っている。
2324,specify,2324,★★☆☆☆,verb,明記する,"to state, name or mention exactly and clearly",Please specify if you prefer almond milk or whole dairy milk in your latte.,ラテにはアーモンドミルクと普通の牛乳のどちらが良いか指定してくださいね。,The recipe card didn't specify whether to use sweet or salted butter for the crust.,そのレシピカードには、生地に無塩バターと有塩バターのどちらを使うか明記されていなかった。,"She forgot to specify the delivery time, so the package arrived early morning.",彼女は配達希望時間を指定し忘れたため、荷物が早朝に届いてしまった。
2325,exact,2325,★★☆☆☆,adjective,正確な,fully and completely correct or accurate,Baking requires exact measurements of flour and yeast to turn out right.,パン作りでは、うまく仕上げるために小麦粉とイーストの正確な分量が求められます。,"At the exact moment the clock struck noon, the garden sprinkler turned on.",時計が正午を打ったまさにその瞬間、庭のスプリンクラーが作動した。,Can you recall the exact spot where you left the spare bicycle key?,予備の自転車の鍵をどこに置いたか、正確な場所を思い出せる？
2326,spin,2326,★★☆☆☆,verb,回転する,to turn or cause someone or something to turn around repeatedly,The washing machine began its gentle spin cycle to wring out the towels.,洗濯機がタオルを絞るために優しい脱水スピンサイクルに入った。,She gave the salad spinner a vigorous turn to dry the crisp lettuce leaves.,彼女はシャキシャキのレタスの水気を切るため、サラダスピナーを勢いよく回した。,Watching the playful kitten spin around chasing its tail made everyone laugh.,しっぽを追いかけてクルクルと回る人懐こい子猫を見て、みんな思わず笑ってしまった。
2327,operator,2327,★★☆☆☆,noun,オペレーター,"a person who uses and controls something (such as a machine, device, or business): someone who operates something",The friendly ski lift operator helped the children get on safely with their poles.,親切なスキーリフトの係員（オペレーター）が、子供たちがストックを持って安全に乗れるよう手助けした。,She dialed customer care and spoke to a helpful phone operator within minutes.,彼女はカスタマーサポートにダイヤルし、数分で親切なオペレーターにつながった。,A skilled crane operator placed the garden gazebo roof gently onto its pillars.,熟練のクレーン運転士が、庭の東屋の屋根を柱の上にそっと下ろした。
2328,infant,2328,★★☆☆☆,noun,幼児,a baby or very young child,The sleeping infant looked peaceful swaddled in a soft organic cotton blanket.,柔らかなオーガニックコットンのブランケットに包まれて、眠る赤ん坊はとても安らかに見えた。,They installed a secure infant car seat before bringing their newborn daughter home.,彼らは生まれたばかりの娘を家に迎える前に、安全な乳児用チャイルドシートを取り付けた。,Our family puppy still behaves like an excitable infant whenever he sees a tennis ball.,うちの愛犬は、テニスボールを見るたびに今でも甘えん坊の赤ちゃんのように振る舞う。
2329,dig,2329,★★☆☆☆,verb,掘る,"to move soil, sand, snow, etc., in order to create a hole",We grabbed our garden trowels to dig small planting holes for spring bulbs.,春咲き球根を植える小さな穴を掘るため、私たちは園芸用スコップを手にした。,The energetic terrier loves to dig up dry leaves in search of buried acorns.,元気いっぱいのテリア犬は、埋もれたドングリを探して落ち葉を掘り返すのが大好きだ。,"Dinner is on the table, warm and ready—so everyone dig in!",夕食がテーブルに温かく用意できたから、みんな遠慮せずどんどん食べてね！
2330,drag,2330,★★☆☆☆,verb,引きずる,to pull (someone or something that is heavy or difficult to move),"Don't drag the wooden chair across the floor, or it might leave a scratch mark.",床に傷がつくかもしれないから、木製の椅子を引きずらないように気をつけてね。,The sleepy afternoon seemed to drag on until the refreshing tea break arrived.,すっきりするお茶の時間が来るまで、眠い午後の時間がのんびりと長く感じられた。,He dragged the garden hose over to water the newly planted tomato vines.,彼は新しく植えたトマトの苗に水をやるため、庭のホースを引っ張ってきた。
2331,mount,2331,★★☆☆☆,noun,上がる,to increase in amount or level,We helped mount the new wooden spice rack onto the kitchen wall.,私たちは新しい木製のスパイスラックをキッチンの壁に取り付けるのを手伝った。,Anticipation began to mount as the aroma of baking pumpkin pie drifted through the room.,カボチャパイが焼ける香りが部屋中に漂うにつれ、期待感が膨らんできた。,He mounted his vintage bicycle and pedaled happily toward the village market.,彼はビンテージの自転車にまたがり、村の市場へ向けて軽快にペダルを漕いだ。
2332,wrap,2332,★★☆☆☆,verb,包む,to cover (something) by winding or folding a piece of material around it,She used festive brown kraft paper and red twine to wrap the holiday cookies.,彼女は素朴な茶色のクラフト紙と赤いたこ糸を使って、手作りクッキーを包んだ。,Wrap yourself in this warm fleece blanket while you read by the window.,窓辺で読書をしている間、この暖かいフリース毛布にくるまっていてね。,We can wrap up our kitchen cleaning in ten minutes if we wash and dry together.,洗う人と拭く人で分担すれば、キッチンの後片付けも10分で一区切りつくよ。
2333,anticipate,2333,★★☆☆☆,verb,予測する,to expect or look ahead to something positively,We anticipate sunny weather for our weekend picnic at the botanical garden.,私たちは植物園での週末ピクニックが晴天になることを心待ちにしている。,She anticipated the cold breeze and thoughtfully packed an extra woolen scarf.,彼女は冷たい風が吹くのを見越して、気を利かせてウールのマフラーを余分に持参した。,The children eagerly anticipate baking gingerbread figures every December.,子どもたちは毎年12月にジンジャーブレッドクッキーを焼くのを心待ちにしている。
2334,dependent,2334,★★☆☆☆,adjective,依存している,decided or controlled by something else,A good harvest of garden tomatoes is dependent on warm sunshine and steady watering.,庭のトマトの豊作は、あたたかい日差しと定期的な水やりに左右されます。,The tiny orphaned kitten was completely dependent on bottled goat milk.,小さな親とはぐれた子猫は、哺乳瓶のヤギミルクに全面的に頼っていた。,We try not to be overly dependent on packaged store-bought snacks.,私たちは市販の袋菓子に頼りすぎないように気をつけています。
2335,specialize,2335,★★☆☆☆,verb,専門とする,to spend most of your time studying one particular subject or doing one type of business,That quiet bakery around the corner specializes in crusty sourdough loaves.,角を曲がったところにある静かなパン屋さんは、皮がパリッとしたサワードウを専門にしている。,She decided to specialize in handmade ceramic tableware and teapots.,彼女は手作りの陶器の食器や急須の制作を専門に手がけることに決めた。,The neighborhood garden center specializes in native pollinator-friendly wildflowers.,近所の園芸センターは、受粉媒介生物に優しい在来の野花を専門に取り扱っている。
2336,angle,2336,★★☆☆☆,noun,角,the difference between the direction of two lines or surfaces that come together: the space or shape formed when two lines or surfaces meet each other,Tilt the patio umbrella at a slight angle to shade the afternoon reading chair.,午後の読書用チェアに影ができるよう、パラソルを少し傾けて角度をつけてね。,"From this angle by the kitchen window, you can see the sunset glowing over the mountains.",キッチンの窓際のこの角度から見ると、山並みに沈む夕日の輝きがよく見えます。,He adjusted his camera angle to capture the dew drops on the flower petals.,彼は花びらの上の朝露をとらえるために、カメラのアングルを微調整した。
2337,chicken,2337,★★☆☆☆,noun,鶏肉,a bird that is raised by people for its eggs and meat,She simmered tender chicken with root vegetables for a comforting winter stew.,彼女は心温まる冬のシチューのために、柔らかい鶏肉と根菜をコトコト煮込んだ。,The mother chicken led her five fluffy yellow chicks across the sunny lawn.,母鶏が5羽のふわふわした黄色いヒヨコたちを引き連れて、日当たりの良い芝生を横切った。,We roasted a whole herb-seasoned chicken with rosemary and lemon for Sunday lunch.,私たちは日曜の昼食に、ローズマリーとレモンを添えたハーブチキンの丸焼きを作った。
2338,anxiety,2338,★★☆☆☆,noun,不安,fear or nervousness about what might happen,Sipping hot herbal chamomile tea eased her mild anxiety before the job interview.,温かいカモミールハーブティーを一口飲むと、面接前のちょっとした不安が和らいだ。,A gentle stroll along the wooded trail worked wonders to melt away daily anxiety.,木立の続く小道をのんびり歩いたことが、日々の不安や緊張をすっきりとほぐしてくれた。,"He listened with calm patience, reassuring her that her anxiety was completely natural.",彼は穏やかに耳を傾け、不安を感じるのはごく自然なことだと彼女を安心させた。
2339,virus,2339,★★☆☆☆,noun,ウイルス,"an infectious organism too small to be seen that causes disease, or an illness that it causes; a harmful computer program",Washing your hands with warm water and soap is the easiest way to keep viruses away.,ぬるま湯と石鹸で手を洗うことが、ウイルスを遠ざける最も手軽で効果的な方法です。,A common winter cold virus kept him cozy in bed with hot ginger tea for two days.,冬のありふれた風邪ウイルスにかかり、彼は2日間生姜湯を飲みながら温かいベッドで過ごした。,Keep the room well-ventilated by opening the balcony windows every morning.,毎朝ベランダの窓を開けて、部屋の風通しを良くしておきましょう。
2340,precisely,2340,★★☆☆☆,adverb,正確に,exactly,The evening train pulled into the village platform precisely on time at seven.,夜の電車は、7時ちょうどきっかりに村のプラットホームに滑り込んできた。,That rich chocolate hazelnut spread is precisely what this warm brioche needs.,あの濃厚なチョコヘーゼルナッツスプレッドこそ、まさにこの温かいブリオッシュに必要なものだ。,"She followed the baking instructions precisely, resulting in perfectly risen scones.",彼女がレシピの手順を寸分違わず正確に守ったおかげで、ふっくら膨らんだスコーンができた。
2341,rival,2341,★★☆☆☆,noun,好敵手,a person or thing that tries to defeat or be more successful than another,The two neighborhood pizza shops are friendly rivals who share fresh basil from each other.,近所の2軒のピザ屋さんは、新鮮なバジルを融通し合う仲の良いライバル同士だ。,Her homemade raspberry tart could rival any sweet creation from an upscale bakery.,彼女の手作りラズベリータルトは、高級洋菓子店のどんなスイーツにも引けを取らない。,"Though they were competitors in the race, they cheered each other on at the finish line.",レースではライバル同士だったが、彼らはゴール地点でお互いを称え合った。
2342,offense,2342,★★☆☆☆,noun,犯行,"a criminal act; something that causes a person to be hurt, angry, or upset",Please take no offense; I just prefer chamomile tea over black coffee in the evening.,悪気はないので気を悪くしないでね。夕方はブラックコーヒーよりカモミール茶が好きなだけなんだ。,His polite tone ensured that nobody took offense at the constructive feedback.,彼の礼儀正しい口調のおかげで、建設的な意見に対して誰も気を悪くすることはなかった。,"Leaving shoes at the front entryway is traditional, so wearing them inside causes offense.",玄関で靴を脱ぐのが習慣なので、土足で上がると失礼にあたります。
2343,detect,2343,★★☆☆☆,verb,検出する,to discover or identify the presence of something,Can you detect a hint of pure vanilla in this creamy almond custard?,このクリーミーなアーモンドカスタードから、ほんのりバニラの香りが感じられる？,The smoke alarm is sensitive enough to detect even slightly burnt toast.,その煙感知器はとても感度が高く、トーストが少し焦げただけでもしっかり検知する。,She could easily detect the excitement in his voice when he shared the good news.,彼が良い知らせを話してくれたとき、彼女はその声に弾むような興奮を感じ取ることができた。
2344,teenager,2344,★★☆☆☆,noun,１０代の,someone who is between 13 and 19 years old,"As a teenager, she spent long summer afternoons sketching wildflowers in her notebook.",十代の頃、彼女は夏の午後の長い時間をノートに野花のスケッチを描いて過ごした。,Our neighbor's teenager kindly shovels snow off our front walkway every winter.,お隣の高校生の男の子が、毎冬親切にもうちの玄関先の雪かきをしてくれる。,Cooking simple pasta dishes together is a fun way to connect with a busy teenager.,簡単なパスタを一緒に作ることは、多感なティーンエイジャーと心を通わせる楽しい時間です。
2345,admire,2345,★★☆☆☆,verb,称賛する,to feel respect or approval for (someone or something),We stopped by the garden gate to admire the climbing white climbing roses.,私たちは庭の門のところで立ち止まり、フェンスを這う白いツルバラを見とれて眺めた。,I really admire how calmly she manages her busy schedule without ever losing her smile.,忙しいスケジュールを笑顔を絶やさず穏やかにこなす彼女の姿を、私は本当に尊敬している。,Guests always admire the handcrafted oak dining table in our breakfast nook.,お客さんはいつも、朝食コーナーにある手作りのオーク材ダイニングテーブルに感嘆の声を上げる。
2346,moderate,2346,★★☆☆☆,adjective,適度の,average in size or amount;  neither too much nor too little,A moderate daily walk of thirty minutes keeps your body healthy and joints flexible.,毎日30分ほどの無理のない適度な散歩が、体を健康に保ち関節をしなやかに保ちます。,Bake the quiche at a moderate temperature so the custard sets without browning too quickly.,カスタードが焦げつかずに固まるよう、キッシュは中程度の温度で焼き上げてください。,She enjoys a moderate cup of mild black tea with her afternoon snack.,彼女は午後のおやつと一緒に、適度な濃さのまろやかな紅茶を1杯楽しむ。
2347,surgery,2347,★★☆☆☆,noun,手術,when a doctor cuts your body open and repairs or removes something,Her grandfather recovered smoothly after minor knee surgery thanks to physical therapy.,リハビリのおかげで、彼女の祖父は膝の簡単な手術のあと順調に回復した。,We brought a basket of fresh oranges and flowers to the hospital after his surgery.,彼の手術のあと、私たちは新鮮なオレンジとお花のカゴを持ってお見舞いに行った。,The vet assured us that our cat's dental surgery would be quick and routine.,獣医さんは、うちの猫の歯の処置（手術）は短時間で普段通りのものだと安心させてくれた。
2348,musician,2348,★★☆☆☆,noun,ミュージシャン,"a person who writes, sings, or plays music",A talented street musician played acoustic guitar under the arched stone bridge.,才能豊かなストリートミュージシャンが、石造りのアーチ橋の下でアコースティックギターを爪弾いていた。,Both of her brothers are skilled musicians who play the cello and the piano.,彼女の2人の兄はどちらも腕の良い音楽家で、チェロとピアノを演奏します。,The cafe invites a local jazz musician to play gentle melodies every Sunday brunch.,そのカフェでは毎週日曜のブランチに地元のジャズ奏者を招いて、優しい音色を奏でてもらっている。
2349,significance,2349,★★☆☆☆,noun,意義、重要性,the importance or meaning of something,The silver locket held great sentimental significance because it was her mother's.,その銀のロケットペンダントは母親の形見だったため、彼女にとって深い思い入れ（意義）があった。,We celebrated the anniversary without fully grasping the historical significance of the date.,私たちはその記念日を祝ったが、その日付が持つ歴史的な重みまでは十分に意識していなかった。,A shared family dinner every Sunday has enormous emotional significance for our household.,毎週日曜に家族揃って夕食を囲むことは、我が家にとってかけがえのない大切な意味を持っています。
2350,shower,2350,★★☆☆☆,noun,シャワー,a device that produces a spray of water for you to stand under and wash your body,A warm shower after a long chilly walk through the woods felt utterly restorative.,森の中の肌寒い散歩のあとに浴びた温かいシャワーは、心身をすっかり癒やしてくれた。,A sudden summer shower washed the dust off the garden leaves and cooled the air.,突然の夕立（シャワー）が庭の木の葉のホコリを洗い流し、空気をひんやりと涼しくした。,They organized a lovely baby shower with handmade cupcakes and herbal tea for her.,みんなで彼女のために、手作りカップケーキとハーブティーを用意した素敵なベビーシャワーを開いた。
2351,illegal,2351,★★☆☆☆,adjective,非合法の,not allowed by law,Parking along the narrow market lane during festival hours is strictly illegal.,お祭りの時間帯に狭い市場の通りに車を停めることは固く禁止されています（違法です）。,It is illegal to pick rare wild orchids growing inside the national nature reserve.,国立自然保護区内に自生する希少な野生ランを採取することは法律で禁じられています。,He learned that downloading unverified copies of books is considered illegal.,彼は出所不明な本のコピーをダウンロードすることが違法とみなされることを知った。
2352,charity,2352,★★☆☆☆,noun,慈善,"an official organization that gives money, food, or help to people who need it; money, food, or other help","Every autumn, our neighborhood organizes a charity bake sale to support animal rescues.",毎年秋になると、近所で動物保護活動を支援するためのチャリティー菓子バザーが開かれます。,She donated her gently worn winter coats and scarves to the local community charity.,彼女は状態の良い冬用のコートやマフラーを地元の地域慈善団体に寄付した。,A simple act of everyday kindness is the warmest form of personal charity.,日々のささやかな親切の行いこそが、最も温かい思いやりの形です。
2353,universal,2353,★★☆☆☆,adjective,普遍的な,done or experienced by everyone,A warm cup of hot soup on a freezing winter day has universal appeal.,凍えるような冬の日にいただく温かいスープ一杯には、万国共通の魅力があります。,The smile is a universal language that conveys friendship without speaking a word.,笑顔は一言も言葉を発さなくても友情を伝える、世界共通の言語です。,This clever wooden bottle opener features a universal design that anyone can use easily.,この工夫された木製の栓抜きは、誰でも簡単に扱えるユニバーサルデザインを採用している。
2354,cigarette,2354,★★☆☆☆,noun,たばこ,"a thin tube of paper filled with tobacco, that people smoke","Our favorite corner cafe is entirely smoke-free, with no cigarette smoking permitted.",私たちのお気に入りの角のカフェは完全禁煙で、タバコは吸えません。,He quit cigarette smoking years ago and took up scenic trail jogging instead.,彼は何年も前にタバコをやめ、代わりに景色のいい小道でのジョギングを始めた。,Please ensure no lit cigarette butts are dropped near dry garden mulch.,庭の乾燥した腐葉土の近くに火のついた吸い殻が落ちないよう、十分気をつけてください。
2355,constitute,2355,★★☆☆☆,verb,構成する,to make up or form something,"Fresh seasonal fruits, creamy yogurt, and rolled oats constitute her ideal breakfast.",新鮮な季節の果物、コクのあるヨーグルト、そしてオートミールが彼女の理想の朝食を構成している。,Twelve dedicated volunteer gardeners constitute the neighborhood beautification committee.,12名の熱心なボランティア庭師たちが、地域の美化委員会を構成しています。,A thoughtful smile and a listening ear constitute the foundations of genuine empathy.,思いやりのある笑顔と真摯に耳を傾ける姿勢こそが、真の共感を形作ります。
2356,adequate,2356,★★☆☆☆,adjective,十分な,enough for someone's needs,Be sure to get adequate sleep every night before a busy week at work.,忙しい一週間が始まる前には、毎晩十分な睡眠をとるように心がけてね。,This lightweight tote bag has adequate room for fresh bakery loaves and fruit.,この軽いトートバッグは、パン屋の食パンや果物を入れるのに十分な容量があります。,Watering twice a week provides adequate moisture for indoor fern plants.,週に2回の水やりで、室内のシダ植物には十分な潤いが行き届きます。
2357,consultant,2357,★★☆☆☆,noun,コンサルタント,someone who advises people about a particular subject,We hired a local landscape consultant to help redesign our overgrown backyard.,草が伸び放題だった裏庭の再整備を手伝ってもらうため、地元の造園アドバイザー（コンサルタント）に依頼した。,"She works as a nutritional consultant, advising home cooks on balanced meals.",彼女は栄養コンサルタントとして、家庭料理のバランスについて助言を行っている。,The interior consultant suggested painting the dark corridor a warm creamy ivory.,インテリアアドバイザーは、薄暗い廊下を温かみのあるクリーミーなアイボリーに塗るよう提案した。
2358,historian,2358,★★☆☆☆,noun,歴史家,someone who studies or writes about history,A local historian gave an engaging walking tour of our town's vintage architecture.,地元の歴史家が、私たちの町のビンテージ建築をめぐる魅力的なウォーキングツアーを開いてくれた。,"As a culinary historian, she researches traditional bread recipes from the eighteenth century.",食文化の歴史研究家として、彼女は18世紀の伝統的なパンのレシピを研究している。,The retired historian spends peaceful afternoons reading old village diaries.,引退した歴史家は、村の古い日記を読みながら穏やかな午後を過ごしている。
2359,cousin,2359,★★☆☆☆,noun,いとこ,a child of your uncle or aunt,My cousin Sarah is visiting from Kyoto for the long weekend.,いとこのサラが、連休を利用して京都から遊びに来ます。,We exchanged holiday recipes with our cousins across the country.,私たちは全国に住むいとこたちと、お休みの定番レシピを交換し合った。,He and his cousin spent childhood summers catching frogs by the pond.,彼といとこは幼い頃の夏を、池のそばでカエルを捕まえて過ごした。
2360,visual,2360,★★☆☆☆,adjective,視覚,"relating to seeing or to the eyes, sight",The cookbook features stunning visual guides with step-by-step photography.,その料理本には、手順ごとの写真が載った素晴らしいビジュアルガイドが掲載されています。,Adding bright yellow sunflowers provides an instant visual boost to the porch.,鮮やかな黄色いヒマワリを添えると、玄関ポーチの見た目が一瞬でパッと華やぎます。,She is a visual learner who understands new crafts best by watching demonstrations.,彼女は目で見て覚えるタイプで、実演を見せてもらうのが一番新しい手芸を理解しやすい。
2361,stupid,2361,★★☆☆☆,adjective,頭が悪い,not intelligent : having or showing a lack of ability to learn and understand things,Leaving my umbrella behind on a rainy day was such a stupid little slip-up.,雨の日に傘を置き忘れてきちゃうなんて、本当につまらないおバカなミスをしちゃった。,There are no stupid questions when you are learning how to bake bread from scratch.,ゼロからパン作りを学んでいるときに、くだらない質問なんてひとつもありませんよ。,"We ended up laughing until our sides hurt at a silly, stupid joke over dinner.",私たちは夕食の席で、くだらない冗談に腹を抱えて笑い転げてしまった。
2362,keen,2362,★★☆☆☆,adjective,熱心な,very interested or enthusiastic; very good or well developed,She has a keen eye for finding vintage ceramic teacups at flea markets.,彼女は蚤の市でビンテージの陶器ティーカップを見つけ出す鋭い鑑識眼を持っている。,The puppy was extraordinarily keen to chase the flying tennis ball across the grass.,子犬は芝生を飛んでいくテニスボールを追いかけたくてたまらない様子だった。,He is very keen on learning how to pickle garden cucumbers this summer.,彼は今年の夏、家庭菜園のきゅうりをピクルスにする方法を覚えるのにとても熱心です。
2363,ethnic,2363,★★☆☆☆,adjective,民族,connected with people who shares a cultural tradition,The weekend street market is packed with food stalls serving authentic ethnic specialties.,週末の路上マーケットには、本場の伝統的なエスニック料理を提供する屋台が並んでいます。,She decorated the living room with beautiful ethnic textiles brought home from her travels.,彼女は旅先から持ち帰った美しい民族調の織物でリビングを飾った。,Cooking diverse ethnic dishes on weekends has become our favorite creative hobby.,週末にさまざまな国のエスニック料理を作るのが、私たちの楽しい創作趣味になりました。
2364,twin,2364,★★☆☆☆,noun,双子,one of two children who are born to the same mother at the same time,The twin sisters both love water-color sketching and gardening on weekends.,その双子の姉妹は、2人とも週末の水彩画スケッチとガーデニングが大好きです。,We bought twin porcelain bedside lamps that cast a soft amber glow.,私たちは柔らかい琥珀色の光を放つ、お揃いの陶器製ベッドサイドランプを一対（2個）買った。,Her two playful kittens look like identical twin clouds of white fur.,彼女の2匹の人懐こい子猫は、まるで真っ白な毛並みの瓜二つの双子の雲のようだ。
2365,clinical,2365,★★☆☆☆,adjective,臨床の,relating to medical treatment and tests,She completed her clinical training as a pediatric physical therapist with honors.,彼女は小児理学療法士としての臨床実習を優秀な成績で修了した。,We chose warm wooden furniture so the home office wouldn't look too stark and clinical.,書斎が殺風景で無機質な（病院のような）雰囲気にならないよう、温かみのある木製家具を選んだ。,The new herbal skin balm underwent rigorous clinical tests for sensitive skin.,その新しいハーブ配合のスキンバームは、敏感肌向けの厳格な臨床試験をクリアした。
2366,eastern,2366,★★☆☆☆,adjective,東部の,located toward the east,Gentle pink light illuminated the eastern sky as dawn arrived over the hills.,丘の上に夜明けが訪れると、優しいピンク色の光が東の空を照らし出した。,They planted hydrangeas along the eastern side of the cottage to catch the cool morning sun.,彼らは涼しい朝の光を浴びられるよう、コテージの東側にアジサイを植えた。,She loves collecting delicate eastern ceramic tea bowls with subtle celadon glazes.,彼女は繊細な青磁の釉薬がかかった東洋の陶器の茶碗を集めるのが大好きです。
2367,forecast,2367,★★☆☆☆,noun,予測,a report saying what is likely to happen in the future,The weekend weather forecast promises mild temperatures and clear blue skies.,週末の天気予報は、穏やかな気温と澄み渡る青空を約束してくれています。,We checked the rain forecast before setting off on our bicycle ride along the river.,川沿いのサイクリングに出発する前に、私たちは雨の予報をチェックした。,Her cheerful forecast for our home garden harvest proved to be spot on.,うちの家庭菜園の収穫に関する彼女の明るい見通し（予想）は、見事に的中した。
2368,segment,2368,★★☆☆☆,noun,部分,one of the parts that something can be divided into,She peeled a juicy mandarin orange and offered a sweet segment to her nephew.,彼女はみずみずしい温州みかんの皮をむき、甥っ子に甘い一房を分けてあげた。,We walked the prettiest segment of the riverside trail under the shaded willow trees.,私たちは柳の木陰が広がる川沿いの遊歩道の中で、いちばん景色のいい区間を散歩した。,Divide the pie chart into a clear segment for each household expense category.,円グラフを各家計費目の分かりやすい区分（セグメント）に分けましょう。
2369,custom,2369,★★☆☆☆,noun,慣習,an action or way of behaving that is usual and traditional among the people in a particular group or place,It is an old family custom to bake cinnamon rolls together on Sunday mornings.,日曜の朝にみんなでシナモンロールを焼くのが、昔からの我が家の習慣です。,We ordered custom wooden shelves crafted to fit our odd living room alcove.,リビングの変形したくぼみスペースにぴったり収まるよう、特注の木製棚を注文した。,Respecting local customs made their homestay in the countryside truly heartwarming.,現地の習慣やしきたりを尊重したことで、彼らの田舎でのホームステイは心温まるものとなった。
2370,adapt,2370,★★☆☆☆,verb,適応する,to change something to fit a new purpose,Houseplants quickly adapt to the sunny windowsill if you water them steadily.,定期的に水をあげれば、観葉植物は日当たりの良い窓辺の環境にすぐ適応します。,She learned to adapt traditional recipes using fresh local gluten-free ingredients.,彼女は地元の新鮮なグルテンフリー食材を使って、伝統的なレシピをアレンジ（適合）させた。,It takes a week or two to adapt to the quieter pace of countryside life.,田舎暮らしのゆったりしたペースに慣れるのには、1〜2週間ほどかかります。
2371,sand,2371,★★☆☆☆,noun,砂,"the very tiny, loose pieces of rock that cover beaches, deserts, etc.",Walking barefoot on the warm beach sand is the ultimate relaxation.,あたたかい浜辺の砂の上を素足で歩くのは、最高の癒やしです。,Use fine sandpaper to smooth down the rough edges of the wooden picture frame.,木製写真立てのざらついた端を、目の細かい紙ヤスリで磨いてなめらかにしてください。,The children built an elaborate sand castle decorated with polished seashells.,子どもたちは拾い集めた貝殻で飾った、見事な砂の城を作った。
2372,cap,2372,★★☆☆☆,noun,帽子,"a small, soft hat that often has a hard curved part (called a visor) that extends out over your eyes",Screw the tight wooden cap back onto the olive oil bottle after drizzling.,オリーブオイルを回しかけたあとは、木製のフタ（キャップ）をしっかり締め直してね。,He wore a warm knit cap pulled low over his ears on the chilly morning walk.,肌寒い朝の散歩中、彼は耳まで深くかぶれる暖かいニット帽をかぶった。,The distant mountain caps were dusted with the season's first glistening snow.,遠くの山の山頂（冠雪部）には、今シーズン最初のきらめく雪が薄っすら積もっていた。
2373,prompt,2373,★★☆☆☆,adjective,促す,to cause (someone) to do something,Thank you for your prompt reply to our weekend brunch invitation.,週末のブランチのお誘いに、早速（迅速）なお返事をいただきありがとうございます。,The chilly morning breeze prompted her to put on an extra knitted cardigan.,肌寒い朝の風に促されて、彼女はニットのカーディガンをもう一枚羽織った。,A friendly text message was the gentle prompt he needed to call his grandmother.,友人からの優しいメッセージが、彼がおばあちゃんに電話をかける良いきっかけ（促し）となった。
2374,charm,2374,★★☆☆☆,noun,魅力,a quality that causes someone or something to be very likable : an attractive quality,The rustic stone fireplace adds so much cozy charm to the cottage living room.,素朴な石造りの暖炉が、コテージのリビングにとても温かい魅力を添えています。,She wears a delicate silver charm bracelet gifted by her mother on her birthday.,彼女は誕生日に母親からプレゼントされた繊細な銀のチャームブレスレットを身につけている。,The old cobblestone alleys of the historic district never lose their quaint charm.,歴史地区の古い石畳の小路は、その古き良き趣（魅力）を決して失うことがない。
2375,react,2375,★★☆☆☆,verb,反応する,to behave or make change in a particular way,How did the family react when you surprised them with the warm peach cobbler?,温かいピーチコブラーをサプライズで出したとき、家族はどんな反応をした？,"Her sensitive skin can react to harsh soaps, so she always chooses unscented organic bars.",彼女の肌は刺激の強い石鹸に敏感に反応（肌荒れ）しやすいため、常に無香料のオーガニック石鹸を選んでいる。,He learned to pause and breathe calmly before reacting to frustrating everyday delays.,彼は日常のイライラする遅延に対して、感情的に反応する前に一呼吸置くことを身につけた。
2376,lecture,2376,★★☆☆☆,noun,講義,a talk or speech about a particular subject,We attended an inspiring weekend lecture about organic kitchen gardening.,私たちは有機家庭菜園に関する、とても刺激的でためになる週末の講座（レクチャー）に参加した。,"Instead of giving a lecture about messy rooms, mom suggested cleaning up together.",散らかった部屋についてお小言を言う代わりに、お母さんは一緒に片付けようと提案した。,The university guest lecture on folk storytelling was engaging and full of laughs.,民話の語りについての大学の特別講義は、引き込まれる内容で笑いに満ちていた。
2377,venture,2377,★★☆☆☆,noun,冒険,a new activity that may not be successful,They took a brave leap and launched a cozy neighborhood bakery venture.,彼らは思い切って一歩を踏み出し、地域に根ざした小さなベーカリーという事業（冒険）を立ち上げた。,We decided to venture deeper into the pine forest in search of sweet wild blackberries.,私たちは甘い野生のブラックベリーを探して、松林のさらに奥へと足を踏み入れることにした。,I wouldn't venture outdoors without a sturdy umbrella in this stormy weather.,こんな嵐の天気のなか、頑丈な傘なしで外に出歩く（冒険する）のはやめたほうがいいよ。
